## compare · e173 (b-muhy7ny0) against e173-base (b-muhyz9be)

Band = max(rel, noise × baseline run-to-run spread) × baseline + abs (scorecard.budget.json `kinds`). REGRESS blocks the merge; `info` rows never fail.

| row | baseline | now | Δ | band | verdict |
|---|---|---|---|---|---|
| driftwood-isle/desktop/cold.bgNetBytes | 102211818 | 256291504 | +150.7 % |  | info |
| driftwood-isle/desktop/cold.idleNetBytes | 125403725 | 279484645 | +122.9 % |  | info |
| driftwood-isle/desktop/cold.longTaskMaxMs | 522 | 586 | +12.3 % | ±128.3 | pass |
| driftwood-isle/desktop/cold.netBytes | 22.12 | 22.12 | +0.0 % | ±0.28 | pass |
| driftwood-isle/desktop/cold.playMs | 7.66 | 7.81 | +2.0 % | ±0.92 | pass |
| driftwood-isle/desktop/cold.requests | 233 | 233 | +0.0 % | ±6.7 | pass |
| driftwood-isle/desktop/cold4g.playMs | 23.63 | 27.66 | +17.0 % | ±2.51 | **REGRESS** |
| driftwood-isle/desktop/mem.geometries | 920 | 920 | +0.0 % | ±48 | pass |
| driftwood-isle/desktop/mem.glBufBytes | 252.42 | 252.42 | +0.0 % | ±14.62 | pass |
| driftwood-isle/desktop/mem.glRbBytes | 7.19 | 7.19 | +0.0 % | ±2.36 | pass |
| driftwood-isle/desktop/mem.glTexBytes | 370.09 | 333.59 | -9.9 % | ±20.50 | better |
| driftwood-isle/desktop/mem.heapBytes | 36.55 | 36.20 | -1.0 % | ±3.83 | pass |
| driftwood-isle/desktop/mem.programs | 105 | 105 | +0.0 % | ±7.3 | pass |
| driftwood-isle/desktop/mem.sceneTexBytes | 59.03 | 46.53 | -21.2 % | ±4.95 | better |
| driftwood-isle/desktop/mem.textures | 127 | 127 | +0.0 % | ±8.4 | pass |
| driftwood-isle/desktop/pose.beach.calls | 567 | 567 | +0.0 % | ±61.7 | pass |
| driftwood-isle/desktop/pose.beach.cpuP50Ms | 3.5 | 3.2 | -8.6 % | ±1.4 | pass |
| driftwood-isle/desktop/pose.beach.cpuP95Ms | 4.1 | 3.7 | -9.8 % | ±1.4 | pass |
| driftwood-isle/desktop/pose.beach.fps | 60.0 | 60.0 | +0.0 % | ±7.0 | pass |
| driftwood-isle/desktop/pose.beach.frameP95Ms | 17.7 | 17.3 | -2.3 % | ±2.8 | pass |
| driftwood-isle/desktop/pose.beach.maskedFrac | 0.1 | 0.1 | +0.0 % |  | info |
| driftwood-isle/desktop/pose.beach.ssim | 0.9976 | 0.9897 | -0.8 % | ≥ 0.98 | pass |
| driftwood-isle/desktop/pose.beach.trisK | 2309.1 | 2309.1 | +0.0 % | ±235.9 | pass |
| driftwood-isle/desktop/pose.pier.calls | 868 | 868 | +0.0 % | ±91.8 | pass |
| driftwood-isle/desktop/pose.pier.cpuP50Ms | 3.6 | 3.5 | -2.8 % | ±1.4 | pass |
| driftwood-isle/desktop/pose.pier.cpuP95Ms | 4.3 | 4.0 | -7.0 % | ±1.4 | pass |
| driftwood-isle/desktop/pose.pier.fps | 60.0 | 60.0 | +0.0 % | ±7.0 | pass |
| driftwood-isle/desktop/pose.pier.frameP95Ms | 17.7 | 17.5 | -1.1 % | ±2.8 | pass |
| driftwood-isle/desktop/pose.pier.maskedFrac | 0 | 0 | +0.0 % |  | info |
| driftwood-isle/desktop/pose.pier.ssim | 0.9941 | 0.9860 | -0.8 % | ≥ 0.98 | pass |
| driftwood-isle/desktop/pose.pier.trisK | 2980.7 | 2980.7 | +0.0 % | ±303.1 | pass |
| driftwood-isle/desktop/pose.wreck.calls | 239 | 239 | +0.0 % | ±28.9 | pass |
| driftwood-isle/desktop/pose.wreck.cpuP50Ms | 3.2 | 2.8 | -12.5 % | ±1.3 | pass |
| driftwood-isle/desktop/pose.wreck.cpuP95Ms | 3.7 | 3.3 | -10.8 % | ±1.4 | pass |
| driftwood-isle/desktop/pose.wreck.fps | 60.0 | 60.0 | +0.0 % | ±7.0 | pass |
| driftwood-isle/desktop/pose.wreck.frameP95Ms | 17.4 | 17.1 | -1.7 % | ±2.7 | pass |
| driftwood-isle/desktop/pose.wreck.maskedFrac | 0.1 | 0.1 | +0.0 % |  | info |
| driftwood-isle/desktop/pose.wreck.ssim | 0.9934 | 0.9806 | -1.3 % | ≥ 0.98 | pass |
| driftwood-isle/desktop/pose.wreck.trisK | 1452.3 | 1452.3 | +0.0 % | ±150.2 | pass |
| driftwood-isle/desktop/warm.longTaskMaxMs | 543 | 511 | -5.9 % | ±131.5 | pass |
| driftwood-isle/desktop/warm.netBytes | 0.00 | 0.00 | +0.1 % | ±0.06 | pass |
| driftwood-isle/desktop/warm.playMs | 2.26 | 2.18 | -3.4 % | ±0.38 | pass |
| driftwood-isle/desktop/warm.requests | 233 | 235 | +0.9 % | ±6.7 | pass |
| driftwood-isle/phone/cold.bgNetBytes | 126886451 | 126886451 | +0.0 % |  | info |
| driftwood-isle/phone/cold.idleNetBytes | 148689715 | 148690949 | +0.0 % |  | info |
| driftwood-isle/phone/cold.longTaskMaxMs | 405 | 414 | +2.2 % | ±110.8 | pass |
| driftwood-isle/phone/cold.netBytes | 20.79 | 20.79 | +0.0 % | ±0.27 | pass |
| driftwood-isle/phone/cold.playMs | 7.03 | 7.08 | +0.7 % | ±0.85 | pass |
| driftwood-isle/phone/cold.requests | 227 | 227 | +0.0 % | ±6.5 | pass |
| driftwood-isle/phone/cold4g.playMs | 24.30 | 26.70 | +9.9 % | ±2.58 | pass |
| driftwood-isle/phone/mem.geometries | 454 | 454 | +0.0 % | ±24.7 | pass |
| driftwood-isle/phone/mem.glBufBytes | 136.21 | 136.21 | +0.0 % | ±8.81 | pass |
| driftwood-isle/phone/mem.glRbBytes | 0.33 | 0.33 | +0.0 % | ±2.02 | pass |
| driftwood-isle/phone/mem.glTexBytes | 117.24 | 117.24 | +0.0 % | ±7.86 | pass |
| driftwood-isle/phone/mem.heapBytes | 34.37 | 34.66 | +0.8 % | ±3.72 | pass |
| driftwood-isle/phone/mem.programs | 94 | 94 | +0.0 % | ±6.7 | pass |
| driftwood-isle/phone/mem.sceneTexBytes | 31.53 | 31.53 | +0.0 % | ±3.58 | pass |
| driftwood-isle/phone/mem.textures | 102 | 102 | +0.0 % | ±7.1 | pass |
| driftwood-isle/phone/pose.beach.calls | 219 | 219 | +0.0 % | ±26.9 | pass |
| driftwood-isle/phone/pose.beach.cpuP50Ms | 2.1 | 2.0 | -4.8 % | ±1.2 | pass |
| driftwood-isle/phone/pose.beach.cpuP95Ms | 2.9 | 2.3 | -20.7 % | ±1.3 | pass |
| driftwood-isle/phone/pose.beach.fps | 30.0 | 60.0 | +100.0 % | ±4.0 | better |
| driftwood-isle/phone/pose.beach.frameP95Ms | 33.8 | 17.5 | -48.2 % | ±4.4 | better |
| driftwood-isle/phone/pose.beach.maskedFrac | 0.1 | 0.1 | +0.0 % |  | info |
| driftwood-isle/phone/pose.beach.ssim | 0.9964 | 0.9965 | +0.0 % | ≥ 0.98 | pass |
| driftwood-isle/phone/pose.beach.trisK | 1054.7 | 1054.7 | +0.0 % | ±110.5 | pass |
| driftwood-isle/phone/pose.pier.calls | 224 | 224 | +0.0 % | ±27.4 | pass |
| driftwood-isle/phone/pose.pier.cpuP50Ms | 2.1 | 1.8 | -14.3 % | ±1.2 | pass |
| driftwood-isle/phone/pose.pier.cpuP95Ms | 3.8 | 2.1 | -44.7 % | ±1.4 | better |
| driftwood-isle/phone/pose.pier.fps | 30.0 | 60.0 | +100.0 % | ±4.0 | better |
